Fuel Type,Energy Generation,Energy Units,Location,Period
onshore wind turbine,871.04657,thousand megawatthours,CO,2015-12
wind,871.04657,thousand megawatthours,CO,2015-12
renewable waste products,7.16289,thousand megawatthours,CO,2015-12
estimated total solar,48.04205,thousand megawatthours,CO,2015-12
estimated total solar photovoltaic,48.04205,thousand megawatthours,CO,2015-12
solar,23.74849,thousand megawatthours,CO,2015-12
solar photovoltaic,23.74849,thousand megawatthours,CO,2015-12
renewable waste products,6.88841,thousand megawatthours,CO,2015-11
estimated total solar,45.38859,thousand megawatthours,CO,2015-11
estimated total solar photovoltaic,45.38859,thousand megawatthours,CO,2015-11
solar,17.84576,thousand megawatthours,CO,2015-11
solar photovoltaic,17.84576,thousand megawatthours,CO,2015-11
renewable,695.49615,thousand megawatthours,CO,2015-11
estimated small scale solar photovoltaic,27.54283,thousand megawatthours,CO,2015-11
biomass,6.91641,thousand megawatthours,CO,2015-11
wood and wood wastes,0.028,thousand megawatthours,CO,2015-11
onshore wind turbine,657.17687,thousand megawatthours,CO,2015-11
wind,657.17687,thousand megawatthours,CO,2015-11
solar,17.92254,thousand megawatthours,CO,2015-10
biomass,6.83984,thousand megawatthours,CO,2015-10
solar photovoltaic,17.92254,thousand megawatthours,CO,2015-10
renewable,824.1948,thousand megawatthours,CO,2015-10
estimated small scale solar photovoltaic,32.98504,thousand megawatthours,CO,2015-10
wood and wood wastes,0.0,thousand megawatthours,CO,2015-10
onshore wind turbine,668.37833,thousand megawatthours,CO,2015-10
wind,668.37833,thousand megawatthours,CO,2015-10
renewable waste products,6.83984,thousand megawatthours,CO,2015-10
estimated total solar,50.90758,thousand megawatthours,CO,2015-10
estimated total solar photovoltaic,50.90758,thousand megawatthours,CO,2015-10
biomass,6.58802,thousand megawatthours,CO,2015-09
wood and wood wastes,0.0,thousand megawatthours,CO,2015-09
onshore wind turbine,473.1956,thousand megawatthours,CO,2015-09
wind,473.1956,thousand megawatthours,CO,2015-09
renewable waste products,6.58802,thousand megawatthours,CO,2015-09
estimated total solar,59.71203,thousand megawatthours,CO,2015-09
estimated total solar photovoltaic,59.71203,thousand megawatthours,CO,2015-09
solar,22.5288,thousand megawatthours,CO,2015-09
solar photovoltaic,22.5288,thousand megawatthours,CO,2015-09
renewable,624.62858,thousand megawatthours,CO,2015-09
estimated small scale solar photovoltaic,37.18323,thousand megawatthours,CO,2015-09
biomass,7.11966,thousand megawatthours,CO,2015-08
wood and wood wastes,0.0,thousand megawatthours,CO,2015-08
onshore wind turbine,557.57913,thousand megawatthours,CO,2015-08
wind,557.57913,thousand megawatthours,CO,2015-08
renewable waste products,7.11966,thousand megawatthours,CO,2015-08
estimated total solar,63.99997,thousand megawatthours,CO,2015-08
estimated total solar photovoltaic,63.99997,thousand megawatthours,CO,2015-08
solar,24.28703,thousand megawatthours,CO,2015-08
solar photovoltaic,24.28703,thousand megawatthours,CO,2015-08
renewable,706.41479,thousand megawatthours,CO,2015-08
estimated small scale solar photovoltaic,39.71294,thousand megawatthours,CO,2015-08
biomass,7.20516,thousand megawatthours,CO,2015-07
wood and wood wastes,0.0,thousand megawatthours,CO,2015-07
onshore wind turbine,447.35778,thousand megawatthours,CO,2015-07
wind,447.35778,thousand megawatthours,CO,2015-07
renewable waste products,7.20516,thousand megawatthours,CO,2015-07
estimated total solar,61.99635,thousand megawatthours,CO,2015-07
estimated total solar photovoltaic,61.99635,thousand megawatthours,CO,2015-07
solar,21.04332,thousand megawatthours,CO,2015-07
solar photovoltaic,21.04332,thousand megawatthours,CO,2015-07
renewable,644.2456,thousand megawatthours,CO,2015-07
estimated small scale solar photovoltaic,40.95303,thousand megawatthours,CO,2015-07
solar photovoltaic,25.52144,thousand megawatthours,CO,2015-06
renewable,708.10897,thousand megawatthours,CO,2015-06
estimated small scale solar photovoltaic,40.41958,thousand megawatthours,CO,2015-06
biomass,6.50943,thousand megawatthours,CO,2015-06
wood and wood wastes,0.0,thousand megawatthours,CO,2015-06
onshore wind turbine,424.56306,thousand megawatthours,CO,2015-06
wind,424.56306,thousand megawatthours,CO,2015-06
renewable waste products,6.50943,thousand megawatthours,CO,2015-06
estimated total solar,65.94102,thousand megawatthours,CO,2015-06
estimated total solar photovoltaic,65.94102,thousand megawatthours,CO,2015-06
solar,25.52144,thousand megawatthours,CO,2015-06
biomass,6.50067,thousand megawatthours,CO,2015-05
wood and wood wastes,0.0,thousand megawatthours,CO,2015-05
onshore wind turbine,630.26085,thousand megawatthours,CO,2015-05
wind,630.26085,thousand megawatthours,CO,2015-05
renewable waste products,6.50067,thousand megawatthours,CO,2015-05
estimated total solar,58.42377,thousand megawatthours,CO,2015-05
estimated total solar photovoltaic,58.42377,thousand megawatthours,CO,2015-05
solar,22.0777,thousand megawatthours,CO,2015-05
solar photovoltaic,22.0777,thousand megawatthours,CO,2015-05
renewable,799.53491,thousand megawatthours,CO,2015-05
estimated small scale solar photovoltaic,36.34607,thousand megawatthours,CO,2015-05
biomass,6.29671,thousand megawatthours,CO,2015-04
wood and wood wastes,0.0,thousand megawatthours,CO,2015-04
onshore wind turbine,667.95752,thousand megawatthours,CO,2015-04
wind,667.95752,thousand megawatthours,CO,2015-04
renewable waste products,6.29671,thousand megawatthours,CO,2015-04
estimated total solar,58.92185,thousand megawatthours,CO,2015-04
estimated total solar photovoltaic,58.92185,thousand megawatthours,CO,2015-04
solar,23.81973,thousand megawatthours,CO,2015-04
solar photovoltaic,23.81973,thousand megawatthours,CO,2015-04
renewable,733.52503,thousand megawatthours,CO,2015-04
estimated small scale solar photovoltaic,35.10212,thousand megawatthours,CO,2015-04
biomass,6.31646,thousand megawatthours,CO,2015-03
wood and wood wastes,0.0,thousand megawatthours,CO,2015-03
onshore wind turbine,684.07654,thousand megawatthours,CO,2015-03
wind,684.07654,thousand megawatthours,CO,2015-03
renewable waste products,6.31646,thousand megawatthours,CO,2015-03
estimated total solar,56.6884,thousand megawatthours,CO,2015-03
estimated total solar photovoltaic,56.6884,thousand megawatthours,CO,2015-03
solar,23.86037,thousand megawatthours,CO,2015-03
solar photovoltaic,23.86037,thousand megawatthours,CO,2015-03
renewable,830.87601,thousand megawatthours,CO,2015-03
estimated small scale solar photovoltaic,32.82803,thousand megawatthours,CO,2015-03
renewable,786.22016,thousand megawatthours,CO,2015-02
estimated small scale solar photovoltaic,22.08888,thousand megawatthours,CO,2015-02
biomass,5.71329,thousand megawatthours,CO,2015-02
wood and wood wastes,0.0,thousand megawatthours,CO,2015-02
onshore wind turbine,628.27218,thousand megawatthours,CO,2015-02
wind,628.27218,thousand megawatthours,CO,2015-02
renewable waste products,5.71329,thousand megawatthours,CO,2015-02
estimated total solar,38.95925,thousand megawatthours,CO,2015-02
estimated total solar photovoltaic,38.95925,thousand megawatthours,CO,2015-02
solar,16.87037,thousand megawatthours,CO,2015-02
solar photovoltaic,16.87037,thousand megawatthours,CO,2015-02
estimated small scale solar photovoltaic,21.7675,thousand megawatthours,CO,2015-01
wood and wood wastes,0.0,thousand megawatthours,CO,2015-01
biomass,6.58349,thousand megawatthours,CO,2015-01
onshore wind turbine,765.41458,thousand megawatthours,CO,2015-01
wind,765.41458,thousand megawatthours,CO,2015-01
renewable waste products,6.58349,thousand megawatthours,CO,2015-01
estimated total solar,33.61331,thousand megawatthours,CO,2015-01
estimated total solar photovoltaic,33.61331,thousand megawatthours,CO,2015-01
solar,11.84581,thousand megawatthours,CO,2015-01
solar photovoltaic,11.84581,thousand megawatthours,CO,2015-01
renewable,987.07089,thousand megawatthours,CO,2015-01
biomass,8.4155,thousand megawatthours,CO,2014-12
wood and wood wastes,1.758,thousand megawatthours,CO,2014-12
onshore wind turbine,660.0784,thousand megawatthours,CO,2014-12
wind,660.0784,thousand megawatthours,CO,2014-12
renewable waste products,6.6575,thousand megawatthours,CO,2014-12
estimated total solar,36.29193,thousand megawatthours,CO,2014-12
estimated total solar photovoltaic,36.29193,thousand megawatthours,CO,2014-12
solar,11.38045,thousand megawatthours,CO,2014-12
solar photovoltaic,11.38045,thousand megawatthours,CO,2014-12
renewable,768.49127,thousand megawatthours,CO,2014-12
estimated small scale solar photovoltaic,24.91148,thousand megawatthours,CO,2014-12
renewable,845.81381,thousand megawatthours,CO,2014-11
estimated small scale solar photovoltaic,26.7849,thousand megawatthours,CO,2014-11
biomass,9.60848,thousand megawatthours,CO,2014-11
wood and wood wastes,3.182,thousand megawatthours,CO,2014-11
onshore wind turbine,810.16328,thousand megawatthours,CO,2014-11
wind,810.16328,thousand megawatthours,CO,2014-11
renewable waste products,6.42648,thousand megawatthours,CO,2014-11
estimated total solar,43.70434,thousand megawatthours,CO,2014-11
estimated total solar photovoltaic,43.70434,thousand megawatthours,CO,2014-11
solar,16.91944,thousand megawatthours,CO,2014-11
solar photovoltaic,16.91944,thousand megawatthours,CO,2014-11
biomass,10.6162,thousand megawatthours,CO,2014-10
wood and wood wastes,4.07,thousand megawatthours,CO,2014-10
onshore wind turbine,633.16407,thousand megawatthours,CO,2014-10
wind,633.16407,thousand megawatthours,CO,2014-10
renewable waste products,6.5462,thousand megawatthours,CO,2014-10
estimated total solar,51.69037,thousand megawatthours,CO,2014-10
estimated total solar photovoltaic,51.69037,thousand megawatthours,CO,2014-10
solar,20.75387,thousand megawatthours,CO,2014-10
solar photovoltaic,20.75387,thousand megawatthours,CO,2014-10
renewable,712.53288,thousand megawatthours,CO,2014-10
estimated small scale solar photovoltaic,30.9365,thousand megawatthours,CO,2014-10
biomass,9.92474,thousand megawatthours,CO,2014-09
wood and wood wastes,3.555,thousand megawatthours,CO,2014-09
onshore wind turbine,516.56593,thousand megawatthours,CO,2014-09
wind,516.56593,thousand megawatthours,CO,2014-09
renewable waste products,6.36974,thousand megawatthours,CO,2014-09
estimated total solar,54.19891,thousand megawatthours,CO,2014-09
estimated total solar photovoltaic,54.19891,thousand megawatthours,CO,2014-09
solar,21.92653,thousand megawatthours,CO,2014-09
solar photovoltaic,21.92653,thousand megawatthours,CO,2014-09
renewable,708.75599,thousand megawatthours,CO,2014-09
estimated small scale solar photovoltaic,32.27238,thousand megawatthours,CO,2014-09
biomass,11.03146,thousand megawatthours,CO,2014-08
wood and wood wastes,4.286,thousand megawatthours,CO,2014-08
onshore wind turbine,369.06715,thousand megawatthours,CO,2014-08
wind,369.06715,thousand megawatthours,CO,2014-08
renewable waste products,6.74546,thousand megawatthours,CO,2014-08
estimated total solar,61.12655,thousand megawatthours,CO,2014-08
estimated total solar photovoltaic,61.12655,thousand megawatthours,CO,2014-08
solar,27.68796,thousand megawatthours,CO,2014-08
solar photovoltaic,27.68796,thousand megawatthours,CO,2014-08
renewable,482.59918,thousand megawatthours,CO,2014-08
estimated small scale solar photovoltaic,33.43859,thousand megawatthours,CO,2014-08
biomass,11.5681,thousand megawatthours,CO,2014-07
wood and wood wastes,4.745,thousand megawatthours,CO,2014-07
onshore wind turbine,418.38103,thousand megawatthours,CO,2014-07
wind,418.38103,thousand megawatthours,CO,2014-07
renewable waste products,6.8231,thousand megawatthours,CO,2014-07
estimated total solar,57.40082,thousand megawatthours,CO,2014-07
estimated total solar photovoltaic,57.40082,thousand megawatthours,CO,2014-07
solar,22.73,thousand megawatthours,CO,2014-07
solar photovoltaic,22.73,thousand megawatthours,CO,2014-07
renewable,623.6825,thousand megawatthours,CO,2014-07
estimated small scale solar photovoltaic,34.67082,thousand megawatthours,CO,2014-07
biomass,10.13617,thousand megawatthours,CO,2014-06
wood and wood wastes,3.475,thousand megawatthours,CO,2014-06
onshore wind turbine,570.71996,thousand megawatthours,CO,2014-06
wind,570.71996,thousand megawatthours,CO,2014-06
renewable waste products,6.66117,thousand megawatthours,CO,2014-06
estimated total solar,61.35775,thousand megawatthours,CO,2014-06
estimated total solar photovoltaic,61.35775,thousand megawatthours,CO,2014-06
solar,27.137,thousand megawatthours,CO,2014-06
solar photovoltaic,27.137,thousand megawatthours,CO,2014-06
renewable,793.94585,thousand megawatthours,CO,2014-06
estimated small scale solar photovoltaic,34.22075,thousand megawatthours,CO,2014-06
biomass,10.29408,thousand megawatthours,CO,2014-05
wood and wood wastes,3.50017,thousand megawatthours,CO,2014-05
onshore wind turbine,598.63963,thousand megawatthours,CO,2014-05
wind,598.63963,thousand megawatthours,CO,2014-05
renewable waste products,6.79391,thousand megawatthours,CO,2014-05
estimated total solar,57.99341,thousand megawatthours,CO,2014-05
estimated total solar photovoltaic,57.99341,thousand megawatthours,CO,2014-05
solar,24.23893,thousand megawatthours,CO,2014-05
solar photovoltaic,24.23893,thousand megawatthours,CO,2014-05
renewable,856.00513,thousand megawatthours,CO,2014-05
estimated small scale solar photovoltaic,33.75448,thousand megawatthours,CO,2014-05
biomass,11.58731,thousand megawatthours,CO,2014-04
wood and wood wastes,5.01701,thousand megawatthours,CO,2014-04
onshore wind turbine,753.47666,thousand megawatthours,CO,2014-04
wind,753.47666,thousand megawatthours,CO,2014-04
renewable waste products,6.5703,thousand megawatthours,CO,2014-04
estimated total solar,52.78875,thousand megawatthours,CO,2014-04
estimated total solar photovoltaic,52.78875,thousand megawatthours,CO,2014-04
solar,21.77793,thousand megawatthours,CO,2014-04
solar photovoltaic,21.77793,thousand megawatthours,CO,2014-04
renewable,1000.42168,thousand megawatthours,CO,2014-04
estimated small scale solar photovoltaic,31.01082,thousand megawatthours,CO,2014-04
estimated small scale solar photovoltaic,28.83688,thousand megawatthours,CO,2014-03
wood and wood wastes,7.63674,thousand megawatthours,CO,2014-03
onshore wind turbine,685.05064,thousand megawatthours,CO,2014-03
wind,685.05064,thousand megawatthours,CO,2014-03
renewable waste products,6.78451,thousand megawatthours,CO,2014-03
estimated total solar,52.19647,thousand megawatthours,CO,2014-03
estimated total solar photovoltaic,52.19647,thousand megawatthours,CO,2014-03
solar,23.35959,thousand megawatthours,CO,2014-03
solar photovoltaic,23.35959,thousand megawatthours,CO,2014-03
renewable,942.82031,thousand megawatthours,CO,2014-03
biomass,14.42125,thousand megawatthours,CO,2014-03
biomass,10.82027,thousand megawatthours,CO,2014-02
estimated small scale solar photovoltaic,21.41152,thousand megawatthours,CO,2014-02
wood and wood wastes,4.96567,thousand megawatthours,CO,2014-02
onshore wind turbine,550.19415,thousand megawatthours,CO,2014-02
wind,550.19415,thousand megawatthours,CO,2014-02
renewable waste products,5.8546,thousand megawatthours,CO,2014-02
estimated total solar,40.06887,thousand megawatthours,CO,2014-02
estimated total solar photovoltaic,40.06887,thousand megawatthours,CO,2014-02
solar,18.65735,thousand megawatthours,CO,2014-02
solar photovoltaic,18.65735,thousand megawatthours,CO,2014-02
renewable,768.26587,thousand megawatthours,CO,2014-02
biomass,7.28325,thousand megawatthours,CO,2014-01
wood and wood wastes,0.44253,thousand megawatthours,CO,2014-01
onshore wind turbine,803.11311,thousand megawatthours,CO,2014-01
wind,803.11311,thousand megawatthours,CO,2014-01
renewable waste products,6.84072,thousand megawatthours,CO,2014-01
estimated total solar,37.54429,thousand megawatthours,CO,2014-01
estimated total solar photovoltaic,37.54429,thousand megawatthours,CO,2014-01
solar,16.49597,thousand megawatthours,CO,2014-01
solar photovoltaic,16.49597,thousand megawatthours,CO,2014-01
renewable,1013.85225,thousand megawatthours,CO,2014-01
estimated small scale solar photovoltaic,21.04832,thousand megawatthours,CO,2014-01
renewable waste products,7.31734,thousand megawatthours,CO,2013-12
biomass,8.8647,thousand megawatthours,CO,2013-12
solar,15.97633,thousand megawatthours,CO,2013-12
solar photovoltaic,15.97633,thousand megawatthours,CO,2013-12
renewable,819.49622,thousand megawatthours,CO,2013-12
onshore wind turbine,705.53595,thousand megawatthours,CO,2013-12
wood and wood wastes,1.54736,thousand megawatthours,CO,2013-12
wind,705.53595,thousand megawatthours,CO,2013-12
renewable,660.41641,thousand megawatthours,CO,2013-11
biomass,7.02832,thousand megawatthours,CO,2013-11
wood and wood wastes,0.0,thousand megawatthours,CO,2013-11
onshore wind turbine,623.90958,thousand megawatthours,CO,2013-11
wind,623.90958,thousand megawatthours,CO,2013-11
renewable waste products,7.02832,thousand megawatthours,CO,2013-11
solar,15.96393,thousand megawatthours,CO,2013-11
solar photovoltaic,15.96393,thousand megawatthours,CO,2013-11
renewable,706.16447,thousand megawatthours,CO,2013-10
biomass,6.93553,thousand megawatthours,CO,2013-10
wood and wood wastes,0.0,thousand megawatthours,CO,2013-10
onshore wind turbine,661.79273,thousand megawatthours,CO,2013-10
wind,661.79273,thousand megawatthours,CO,2013-10
renewable waste products,6.93553,thousand megawatthours,CO,2013-10
solar,23.25521,thousand megawatthours,CO,2013-10
solar photovoltaic,23.25521,thousand megawatthours,CO,2013-10
renewable waste products,6.58706,thousand megawatthours,CO,2013-09
solar,22.41493,thousand megawatthours,CO,2013-09
solar photovoltaic,22.41493,thousand megawatthours,CO,2013-09
renewable,626.5852,thousand megawatthours,CO,2013-09
biomass,6.58706,thousand megawatthours,CO,2013-09
wood and wood wastes,0.0,thousand megawatthours,CO,2013-09
onshore wind turbine,543.44121,thousand megawatthours,CO,2013-09
wind,543.44121,thousand megawatthours,CO,2013-09
biomass,6.98737,thousand megawatthours,CO,2013-08
wood and wood wastes,0.0,thousand megawatthours,CO,2013-08
onshore wind turbine,380.93461,thousand megawatthours,CO,2013-08
wind,380.93461,thousand megawatthours,CO,2013-08
renewable waste products,6.98737,thousand megawatthours,CO,2013-08
solar,24.2379,thousand megawatthours,CO,2013-08
solar photovoltaic,24.2379,thousand megawatthours,CO,2013-08
renewable,442.07459,thousand megawatthours,CO,2013-08
biomass,7.2819,thousand megawatthours,CO,2013-07
wood and wood wastes,0.30882,thousand megawatthours,CO,2013-07
onshore wind turbine,504.72643,thousand megawatthours,CO,2013-07
wind,504.72643,thousand megawatthours,CO,2013-07
renewable waste products,6.97308,thousand megawatthours,CO,2013-07
solar,24.19748,thousand megawatthours,CO,2013-07
solar photovoltaic,24.19748,thousand megawatthours,CO,2013-07
renewable,664.40796,thousand megawatthours,CO,2013-07
biomass,6.66499,thousand megawatthours,CO,2013-06
wood and wood wastes,0.0,thousand megawatthours,CO,2013-06
onshore wind turbine,587.64443,thousand megawatthours,CO,2013-06
wind,587.64443,thousand megawatthours,CO,2013-06
renewable waste products,6.66499,thousand megawatthours,CO,2013-06
solar,25.33012,thousand megawatthours,CO,2013-06
solar photovoltaic,25.33012,thousand megawatthours,CO,2013-06
renewable,782.80629,thousand megawatthours,CO,2013-06
biomass,7.12283,thousand megawatthours,CO,2013-05
wood and wood wastes,0.31412,thousand megawatthours,CO,2013-05
onshore wind turbine,569.79546,thousand megawatthours,CO,2013-05
wind,569.79546,thousand megawatthours,CO,2013-05
renewable waste products,6.80871,thousand megawatthours,CO,2013-05
solar,24.82962,thousand megawatthours,CO,2013-05
solar photovoltaic,24.82962,thousand megawatthours,CO,2013-05
renewable,757.32201,thousand megawatthours,CO,2013-05
biomass,6.96654,thousand megawatthours,CO,2013-04
wood and wood wastes,0.43975,thousand megawatthours,CO,2013-04
onshore wind turbine,555.24567,thousand megawatthours,CO,2013-04
wind,555.24567,thousand megawatthours,CO,2013-04
renewable waste products,6.5268,thousand megawatthours,CO,2013-04
solar,20.14663,thousand megawatthours,CO,2013-04
solar photovoltaic,20.14663,thousand megawatthours,CO,2013-04
renewable,697.67223,thousand megawatthours,CO,2013-04
biomass,6.96937,thousand megawatthours,CO,2013-03
wood and wood wastes,0.16265,thousand megawatthours,CO,2013-03
onshore wind turbine,687.65252,thousand megawatthours,CO,2013-03
wind,687.65252,thousand megawatthours,CO,2013-03
renewable waste products,6.80672,thousand megawatthours,CO,2013-03
solar,20.74806,thousand megawatthours,CO,2013-03
solar photovoltaic,20.74806,thousand megawatthours,CO,2013-03
renewable,858.66058,thousand megawatthours,CO,2013-03
biomass,5.87018,thousand megawatthours,CO,2013-02
wood and wood wastes,0.0,thousand megawatthours,CO,2013-02
onshore wind turbine,713.7736,thousand megawatthours,CO,2013-02
wind,713.7736,thousand megawatthours,CO,2013-02
renewable waste products,5.87018,thousand megawatthours,CO,2013-02
solar,16.72502,thousand megawatthours,CO,2013-02
solar photovoltaic,16.72502,thousand megawatthours,CO,2013-02
renewable,878.61254,thousand megawatthours,CO,2013-02
biomass,6.93181,thousand megawatthours,CO,2013-01
wood and wood wastes,0.31666,thousand megawatthours,CO,2013-01
onshore wind turbine,669.26801,thousand megawatthours,CO,2013-01
wind,669.26801,thousand megawatthours,CO,2013-01
renewable waste products,6.61514,thousand megawatthours,CO,2013-01
solar,14.62724,thousand megawatthours,CO,2013-01
solar photovoltaic,14.62724,thousand megawatthours,CO,2013-01
renewable,855.03676,thousand megawatthours,CO,2013-01
biomass,5.32838,thousand megawatthours,CO,2012-12
wood and wood wastes,0.2673,thousand megawatthours,CO,2012-12
onshore wind turbine,671.75644,thousand megawatthours,CO,2012-12
wind,671.75644,thousand megawatthours,CO,2012-12
renewable waste products,5.06108,thousand megawatthours,CO,2012-12
solar,13.48378,thousand megawatthours,CO,2012-12
solar photovoltaic,13.48378,thousand megawatthours,CO,2012-12
renewable,779.84201,thousand megawatthours,CO,2012-12
renewable,528.78167,thousand megawatthours,CO,2012-11
biomass,4.89197,thousand megawatthours,CO,2012-11
wood and wood wastes,0.0,thousand megawatthours,CO,2012-11
onshore wind turbine,494.70573,thousand megawatthours,CO,2012-11
wind,494.70573,thousand megawatthours,CO,2012-11
renewable waste products,4.89197,thousand megawatthours,CO,2012-11
solar,16.33816,thousand megawatthours,CO,2012-11
solar photovoltaic,16.33816,thousand megawatthours,CO,2012-11
biomass,4.87549,thousand megawatthours,CO,2012-10
wood and wood wastes,0.0,thousand megawatthours,CO,2012-10
onshore wind turbine,478.20497,thousand megawatthours,CO,2012-10
wind,478.20497,thousand megawatthours,CO,2012-10
renewable waste products,4.87549,thousand megawatthours,CO,2012-10
solar,20.18922,thousand megawatthours,CO,2012-10
solar photovoltaic,20.18922,thousand megawatthours,CO,2012-10
renewable,686.03032,thousand megawatthours,CO,2012-10
biomass,4.69061,thousand megawatthours,CO,2012-09
wood and wood wastes,0.0,thousand megawatthours,CO,2012-09
onshore wind turbine,344.91277,thousand megawatthours,CO,2012-09
wind,344.91277,thousand megawatthours,CO,2012-09
renewable waste products,4.69061,thousand megawatthours,CO,2012-09
solar,19.15741,thousand megawatthours,CO,2012-09
solar photovoltaic,19.15741,thousand megawatthours,CO,2012-09
renewable,525.60757,thousand megawatthours,CO,2012-09
biomass,4.91703,thousand megawatthours,CO,2012-08
wood and wood wastes,0.0,thousand megawatthours,CO,2012-08
onshore wind turbine,432.49614,thousand megawatthours,CO,2012-08
wind,432.49614,thousand megawatthours,CO,2012-08
renewable waste products,4.91703,thousand megawatthours,CO,2012-08
solar,18.06019,thousand megawatthours,CO,2012-08
solar photovoltaic,18.06019,thousand megawatthours,CO,2012-08
renewable,625.57464,thousand megawatthours,CO,2012-08
renewable,536.1477,thousand megawatthours,CO,2012-07
biomass,4.95971,thousand megawatthours,CO,2012-07
wood and wood wastes,0.0,thousand megawatthours,CO,2012-07
onshore wind turbine,346.97889,thousand megawatthours,CO,2012-07
wind,346.97889,thousand megawatthours,CO,2012-07
renewable waste products,4.95971,thousand megawatthours,CO,2012-07
solar,18.89463,thousand megawatthours,CO,2012-07
solar photovoltaic,18.89463,thousand megawatthours,CO,2012-07
biomass,4.73793,thousand megawatthours,CO,2012-06
wood and wood wastes,0.0,thousand megawatthours,CO,2012-06
onshore wind turbine,489.30995,thousand megawatthours,CO,2012-06
wind,489.30995,thousand megawatthours,CO,2012-06
renewable waste products,4.73793,thousand megawatthours,CO,2012-06
solar,20.38293,thousand megawatthours,CO,2012-06
solar photovoltaic,20.38293,thousand megawatthours,CO,2012-06
renewable,654.18757,thousand megawatthours,CO,2012-06
biomass,4.87975,thousand megawatthours,CO,2012-05
wood and wood wastes,0.0,thousand megawatthours,CO,2012-05
onshore wind turbine,426.25817,thousand megawatthours,CO,2012-05
wind,426.25817,thousand megawatthours,CO,2012-05
renewable waste products,4.87975,thousand megawatthours,CO,2012-05
solar,18.70311,thousand megawatthours,CO,2012-05
solar photovoltaic,18.70311,thousand megawatthours,CO,2012-05
renewable,608.31564,thousand megawatthours,CO,2012-05
biomass,4.70526,thousand megawatthours,CO,2012-04
wood and wood wastes,0.0,thousand megawatthours,CO,2012-04
onshore wind turbine,551.37037,thousand megawatthours,CO,2012-04
wind,551.37037,thousand megawatthours,CO,2012-04
renewable waste products,4.70526,thousand megawatthours,CO,2012-04
solar,11.48771,thousand megawatthours,CO,2012-04
solar photovoltaic,11.48771,thousand megawatthours,CO,2012-04
renewable,669.2736,thousand megawatthours,CO,2012-04
renewable,702.39033,thousand megawatthours,CO,2012-03
biomass,4.78939,thousand megawatthours,CO,2012-03
wood and wood wastes,0.0,thousand megawatthours,CO,2012-03
onshore wind turbine,559.54199,thousand megawatthours,CO,2012-03
wind,559.54199,thousand megawatthours,CO,2012-03
renewable waste products,4.78939,thousand megawatthours,CO,2012-03
solar,3.76207,thousand megawatthours,CO,2012-03
solar photovoltaic,3.76207,thousand megawatthours,CO,2012-03
biomass,4.50506,thousand megawatthours,CO,2012-02
wood and wood wastes,0.0,thousand megawatthours,CO,2012-02
onshore wind turbine,544.09426,thousand megawatthours,CO,2012-02
wind,544.09426,thousand megawatthours,CO,2012-02
renewable waste products,4.50506,thousand megawatthours,CO,2012-02
solar,2.73531,thousand megawatthours,CO,2012-02
solar photovoltaic,2.73531,thousand megawatthours,CO,2012-02
renewable,623.48614,thousand megawatthours,CO,2012-02
biomass,4.70895,thousand megawatthours,CO,2012-01
wood and wood wastes,0.0,thousand megawatthours,CO,2012-01
onshore wind turbine,629.01358,thousand megawatthours,CO,2012-01
wind,629.01358,thousand megawatthours,CO,2012-01
renewable waste products,4.70895,thousand megawatthours,CO,2012-01
solar,2.2545,thousand megawatthours,CO,2012-01
solar photovoltaic,2.2545,thousand megawatthours,CO,2012-01
renewable,749.65362,thousand megawatthours,CO,2012-01
renewable,587.2262,thousand megawatthours,CO,2011-12
biomass,5.49558,thousand megawatthours,CO,2011-12
wood and wood wastes,0.0,thousand megawatthours,CO,2011-12
onshore wind turbine,555.88993,thousand megawatthours,CO,2011-12
wind,555.88993,thousand megawatthours,CO,2011-12
renewable waste products,5.49558,thousand megawatthours,CO,2011-12
solar,7.51538,thousand megawatthours,CO,2011-12
solar photovoltaic,7.51538,thousand megawatthours,CO,2011-12
biomass,5.29167,thousand megawatthours,CO,2011-11
wood and wood wastes,0.0,thousand megawatthours,CO,2011-11
onshore wind turbine,550.64777,thousand megawatthours,CO,2011-11
wind,550.64777,thousand megawatthours,CO,2011-11
renewable waste products,5.29167,thousand megawatthours,CO,2011-11
solar,5.72803,thousand megawatthours,CO,2011-11
solar photovoltaic,5.72803,thousand megawatthours,CO,2011-11
renewable,587.62575,thousand megawatthours,CO,2011-11
renewable,744.91108,thousand megawatthours,CO,2011-10
biomass,5.27405,thousand megawatthours,CO,2011-10
wood and wood wastes,0.0,thousand megawatthours,CO,2011-10
onshore wind turbine,506.89174,thousand megawatthours,CO,2011-10
wind,506.89174,thousand megawatthours,CO,2011-10
renewable waste products,5.27405,thousand megawatthours,CO,2011-10
solar,8.49472,thousand megawatthours,CO,2011-10
solar photovoltaic,8.49472,thousand megawatthours,CO,2011-10
wind,331.77064,thousand megawatthours,CO,2011-09
renewable waste products,5.07515,thousand megawatthours,CO,2011-09
solar,8.60087,thousand megawatthours,CO,2011-09
solar photovoltaic,8.60087,thousand megawatthours,CO,2011-09
renewable,536.05304,thousand megawatthours,CO,2011-09
biomass,5.07515,thousand megawatthours,CO,2011-09
wood and wood wastes,0.0,thousand megawatthours,CO,2011-09
onshore wind turbine,331.77064,thousand megawatthours,CO,2011-09
wood and wood wastes,0.0696,thousand megawatthours,CO,2011-08
onshore wind turbine,348.46715,thousand megawatthours,CO,2011-08
