Fuel Type,Energy Generation,Energy Units,Location,Period
estimated total solar photovoltaic,131.08897,thousand megawatthours,CO,2021-01
solar,78.5544,thousand megawatthours,CO,2021-01
solar photovoltaic,78.5544,thousand megawatthours,CO,2021-01
renewable,1566.0172,thousand megawatthours,CO,2021-01
estimated small scale solar photovoltaic,52.53457,thousand megawatthours,CO,2021-01
biomass,14.70105,thousand megawatthours,CO,2020-12
wood and wood wastes,8.413,thousand megawatthours,CO,2020-12
onshore wind turbine,1548.58334,thousand megawatthours,CO,2020-12
wind,1548.58334,thousand megawatthours,CO,2020-12
renewable waste products,6.28805,thousand megawatthours,CO,2020-12
estimated total solar,115.62116,thousand megawatthours,CO,2020-12
estimated total solar photovoltaic,115.62116,thousand megawatthours,CO,2020-12
solar,70.66775,thousand megawatthours,CO,2020-12
solar photovoltaic,70.66775,thousand megawatthours,CO,2020-12
renewable,1757.37001,thousand megawatthours,CO,2020-12
estimated small scale solar photovoltaic,44.95341,thousand megawatthours,CO,2020-12
biomass,13.37093,thousand megawatthours,CO,2020-11
wood and wood wastes,7.399,thousand megawatthours,CO,2020-11
onshore wind turbine,1286.85987,thousand megawatthours,CO,2020-11
wind,1286.85987,thousand megawatthours,CO,2020-11
renewable waste products,5.97193,thousand megawatthours,CO,2020-11
estimated total solar,143.22711,thousand megawatthours,CO,2020-11
estimated total solar photovoltaic,143.22711,thousand megawatthours,CO,2020-11
solar,92.11547,thousand megawatthours,CO,2020-11
solar photovoltaic,92.11547,thousand megawatthours,CO,2020-11
renewable,1510.02995,thousand megawatthours,CO,2020-11
estimated small scale solar photovoltaic,51.11164,thousand megawatthours,CO,2020-11
biomass,13.96715,thousand megawatthours,CO,2020-10
wood and wood wastes,8.082,thousand megawatthours,CO,2020-10
onshore wind turbine,1038.462,thousand megawatthours,CO,2020-10
wind,1038.462,thousand megawatthours,CO,2020-10
renewable waste products,5.88515,thousand megawatthours,CO,2020-10
estimated total solar,165.61374,thousand megawatthours,CO,2020-10
estimated total solar photovoltaic,165.61374,thousand megawatthours,CO,2020-10
solar,106.49966,thousand megawatthours,CO,2020-10
solar photovoltaic,106.49966,thousand megawatthours,CO,2020-10
renewable,1281.10899,thousand megawatthours,CO,2020-10
estimated small scale solar photovoltaic,59.11408,thousand megawatthours,CO,2020-10
biomass,13.67003,thousand megawatthours,CO,2020-09
wood and wood wastes,7.8,thousand megawatthours,CO,2020-09
onshore wind turbine,1037.84134,thousand megawatthours,CO,2020-09
wind,1037.84134,thousand megawatthours,CO,2020-09
renewable waste products,5.87003,thousand megawatthours,CO,2020-09
estimated total solar,203.38885,thousand megawatthours,CO,2020-09
estimated total solar photovoltaic,203.38885,thousand megawatthours,CO,2020-09
solar,139.88994,thousand megawatthours,CO,2020-09
solar photovoltaic,139.88994,thousand megawatthours,CO,2020-09
renewable,1302.70479,thousand megawatthours,CO,2020-09
estimated small scale solar photovoltaic,63.49891,thousand megawatthours,CO,2020-09
biomass,12.94782,thousand megawatthours,CO,2020-08
wood and wood wastes,7.194,thousand megawatthours,CO,2020-08
onshore wind turbine,1058.95211,thousand megawatthours,CO,2020-08
wind,1058.95211,thousand megawatthours,CO,2020-08
renewable waste products,5.75382,thousand megawatthours,CO,2020-08
estimated total solar,212.42149,thousand megawatthours,CO,2020-08
estimated total solar photovoltaic,212.42149,thousand megawatthours,CO,2020-08
solar,144.84936,thousand megawatthours,CO,2020-08
solar photovoltaic,144.84936,thousand megawatthours,CO,2020-08
renewable,1381.67891,thousand megawatthours,CO,2020-08
estimated small scale solar photovoltaic,67.57213,thousand megawatthours,CO,2020-08
estimated small scale solar photovoltaic,70.41621,thousand megawatthours,CO,2020-07
wood and wood wastes,8.09,thousand megawatthours,CO,2020-07
onshore wind turbine,1078.56998,thousand megawatthours,CO,2020-07
wind,1078.56998,thousand megawatthours,CO,2020-07
renewable waste products,6.03025,thousand megawatthours,CO,2020-07
estimated total solar,245.25133,thousand megawatthours,CO,2020-07
estimated total solar photovoltaic,245.25133,thousand megawatthours,CO,2020-07
solar,174.83512,thousand megawatthours,CO,2020-07
solar photovoltaic,174.83512,thousand megawatthours,CO,2020-07
renewable,1436.30924,thousand megawatthours,CO,2020-07
biomass,14.12025,thousand megawatthours,CO,2020-07
biomass,12.74347,thousand megawatthours,CO,2020-06
wood and wood wastes,6.851,thousand megawatthours,CO,2020-06
onshore wind turbine,991.76819,thousand megawatthours,CO,2020-06
wind,991.76819,thousand megawatthours,CO,2020-06
renewable waste products,5.89247,thousand megawatthours,CO,2020-06
estimated total solar,240.63011,thousand megawatthours,CO,2020-06
estimated total solar photovoltaic,240.63011,thousand megawatthours,CO,2020-06
solar,169.83963,thousand megawatthours,CO,2020-06
solar photovoltaic,169.83963,thousand megawatthours,CO,2020-06
renewable,1346.28557,thousand megawatthours,CO,2020-06
estimated small scale solar photovoltaic,70.79048,thousand megawatthours,CO,2020-06
solar,177.65769,thousand megawatthours,CO,2020-05
solar photovoltaic,177.65769,thousand megawatthours,CO,2020-05
renewable,1676.38445,thousand megawatthours,CO,2020-05
biomass,12.61531,thousand megawatthours,CO,2020-05
estimated small scale solar photovoltaic,70.88696,thousand megawatthours,CO,2020-05
wood and wood wastes,6.26,thousand megawatthours,CO,2020-05
onshore wind turbine,1319.13581,thousand megawatthours,CO,2020-05
wind,1319.13581,thousand megawatthours,CO,2020-05
renewable waste products,6.35531,thousand megawatthours,CO,2020-05
estimated total solar,248.54465,thousand megawatthours,CO,2020-05
estimated total solar photovoltaic,248.54465,thousand megawatthours,CO,2020-05
biomass,14.23305,thousand megawatthours,CO,2020-04
wood and wood wastes,8.093,thousand megawatthours,CO,2020-04
onshore wind turbine,898.13745,thousand megawatthours,CO,2020-04
wind,898.13745,thousand megawatthours,CO,2020-04
renewable waste products,6.14005,thousand megawatthours,CO,2020-04
estimated total solar,213.30648,thousand megawatthours,CO,2020-04
estimated total solar photovoltaic,213.30648,thousand megawatthours,CO,2020-04
solar,151.40151,thousand megawatthours,CO,2020-04
